X,Y,OBJECTID_1,OBJECTID,CODIGO,CENTRO,DIRECCION,DISTRITO,TX_DISTRIT,ARCOS,CAPACIDAD,MODELO,TITULAR,ESTADO,OBSERVACIO,FOTO,FECHA_FOTO,FUENTE_FOT,FUENTE,ID_INFORMO,ID_OBRAS,CODIGO_GEN,ELIMINADO,enplanos,CMUN,CPROV,ESTACION,SENALIZ,LOCAL_ID,Count_
443038.7473,4479041.9058,361,342,PBI_05025,Gerencia Municipal de Urbanismo,Av. Alfonso XIII,05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_05025.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,342,147,0,0,1,079,28,,,,1
444002.1014,4478814.8613,362,343,PBI_15008,Zona comercial,"Lopez de Hoyos, 301",15,CIUDAD LINEAL,4,8,1,AYUNTAMIENTO MADRID, , ,PBI_15008.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,343,551,0,0,1,079,28,,,,1
448834.5024,4470390.4304,363,344,PBI_18012,"Instalación Deportiva ""Cerro Almodovar""","Ctra. Valencia, Km. 9,501 (lateral izquierdo)",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18012.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,344,702,0,0,1,079,28,,,,1
446767.9939,4470103.8876,364,345,PBI_18006,"Colegio ""Sagrado Corazón""","San Jaime, 17",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18006.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,345,700,0,0,1,079,28,,,,1
447873.9649,4470215.1086,365,346,PBI_18007,"Biblioteca Pública ""Luis Martín Santos""",Enrique García Álvarez,18,VILLA DE VALLECAS,8,16,1, ,1,Deteriorado,PBI_18007.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,346,0,0,0,1,079,28,,,,1
438011.1176,4469908.7284,366,347,PBI_11008,Campo de futbol,Plaza de Las Meninas - Vía Lusitana,11,CARABANCHEL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_11008.jpg,2010/10/15 00:00:00+00,Central de Movilidad,INFORMOMADRID,347,413,0,0,1,079,28,,,,1
438097.1434,4469891.0088,367,348,PBI_11009,"Instalación Deportiva ""La Vía""","Vía Lusitana, 5",11,CARABANCHEL,5,10,1,AYUNTAMIENTO MADRID,<Null>, ,PBI_11009.jpg,2010/10/07 00:00:00+00,Central de Movilidad,INFORMOMADRID,348,411,0,0,1,079,28,,,,1
441815.8543,4481167.2863,368,349,PBI_08018,Instalaciones Deportivas,"Paseo de la Castellana, 302",08,FUENCARRAL-EL PARDO,27,27,8, , , ,PBI_08018.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,349,0,1,0,1,079,28,,,,1
445789.0032,4473681.3916,369,350,PBI_14025,"Parque ""Cuña Verde de O'Donnell""",José Bergamín,14,MORATALAZ,4,8,1,AYUNTAMIENTO MADRID,1,Faltan los 4 arcos,PBI_14025.jpg,2010/10/19 00:00:00+00,Central de Movilidad,INFORMOMADRID,350,0,0,0,1,079,28,,,,1
438292.1951,4478049.4767,370,351,PBI_09011,"Instalaciones Deportivas Universidad Complutense ""Zona Norte""","Av. Complutense, s/n",09,MONCLOA-ARAVACA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_09011.jpg,2011/01/24 00:00:00+00,Central de Movilidad,INFORMOMADRID,351,0,0,0,1,079,28,,,,1
441431.9913,4479854.566,371,352,PBI_06018,"Intercambiador ""Plaza de Castilla""","San Aquilino, 2",06,TETUAN,15,30,1, ,1,Falta 1 arco,PBI_06018.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,352,814,0,0,1,079,28,,,,1
441488.3975,4479976.4313,372,353,PBI_06019,"Colegio ""Nuestra Sra. del Pilar Salesianas""","San Benito, 6",06,TETUAN,5,10,1,AYUNTAMIENTO MADRID,1,Faltan 2 arcos,PBI_06019.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,353,227,0,0,1,079,28,,,,1
443984.2297,4482068.1864,373,354,PBI_16010,"Metro Ligero ""Virgen del Cortijo""","Av. Manoteras, 55",16,HORTALEZA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_16010.jpg,2010/09/22 00:00:00+00,Central de Movilidad,INFORMOMADRID,354,633,0,0,1,079,28,,,,1
438908.0637,4474706.4286,374,355,PBI_09012,"Intercambiador ""Príncipe Pío""",Glorieta San Vicente,09,MONCLOA-ARAVACA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_09012.jpg,2010/09/18 00:00:00+00,Central de Movilidad,INFORMOMADRID,355,331,0,0,1,079,28,,,,1
438853.0935,4474800.28,375,356,PBI_09013,"Intercambiador ""Príncipe Pío""",Paseo La Florida,09,MONCLOA-ARAVACA,140,140,5, , , ,PBI_09013.jpg,2010/09/18 00:00:00+00,Central de Movilidad,INFORMOMADRID,356,871,0,0,1,079,28,,,,1
438889.7403,4474807.4306,376,357,PBI_09014,"Centro Comercial ""Príncipe Pío""",Paseo La Florida,09,MONCLOA-ARAVACA,4,8,3, , , ,PBI_09014.jpg,2010/09/18 00:00:00+00,Central de Movilidad,INFORMOMADRID,357,0,0,0,1,079,28,,,,1
441517.4147,4478871.8994,377,358,PBI_05026,Ejes principales del Plan Director,"Paseo Castellana, 162",05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_05026.jpg,2011/01/08 00:00:00+00,Central de Movilidad,INFORMOMADRID,358,163,0,0,1,079,28,,,,1
443378.5869,4477158.2591,378,359,PBI_05027,Oficina de empleo de INEM,"Corazón de María, 27",05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID,1,Falta 1 arco y otro fuera de sitio,PBI_05027.jpg,2011/01/02 00:00:00+00,Central de Movilidad,INFORMOMADRID,359,186,0,0,1,079,28,,,,1
441351.4994,4479750.9304,379,360,PBI_06020,Universidad de Alcalá,Conde de Serrallo,06,TETUAN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_06020.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,360,228,0,0,1,079,28,,,,1
448665.8099,4470729.5991,380,361,PBI_18010,"Colegio Público ""Ciudad de Valencia""",Ctra. Valencia Km.9,18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18010.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,361,705,0,0,1,079,28,,,,1
448710.532,4470651.4522,381,362,PBI_18011,"IES ""Santa Eugenia""","Ctra. Valencia, Km. 9,700",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18011.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,362,703,0,0,1,079,28,,,,1
448830.3801,4470403.2808,382,363,PBI_18013,"Instalación Deportiva ""Cerro Almodovar""","Ctra. Valencia, Km. 9,500 (lateral derecho)",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID,2,Señal Doblada,PBI_18013.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,363,701,0,0,1,079,28,,,,1
448318.0828,4470835.3892,383,364,PBI_18014,"Estación ""Santa Eugenia""","Av. Santa Eugenia, 3",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18014.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,364,708,0,0,1,079,28,,,,1
447780.3829,4470484.4003,384,365,PBI_18015,"Campo de futbol ""La Unión""",Enrique García Álvarez,18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18015.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,365,711,0,0,1,079,28,,,,1
447933.7213,4470502.0024,385,366,PBI_18017,"Escuela Infantil ""Arco Iris""","Diego Olivera Victorio, 10",18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_18017.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,366,710,0,0,1,079,28,,,,1
447764.1759,4470400.1872,386,367,PBI_18016,"Colegio Público ""Juan de Herrera""",Enrique García Álvarez,18,VILLA DE VALLECAS,5,10,1,AYUNTAMIENTO MADRID,1,Falta 1 arco,PBI_18016.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,367,712,0,0,1,079,28,,,,1
441598.4273,4479478.0048,387,368,PBI_05029,Parque Canal Isabel II,"Paseo Castellana, 212",05,CHAMARTIN,16,16,8, , , ,PBI_05029.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,368,838,0,0,1,079,28,,,,1
444044.8025,4473754.5638,388,369,PBI_14024,Centro Comercial Alcampo,"Manuel Machado, 3",14,MORATALAZ,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_14024.jpg,2010/09/07 00:00:00+00,Central de Movilidad,INFORMOMADRID,369,530,0,0,1,079,28,,,,1
449276.3695,4469134.9052,389,370,PBI_18008,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18008.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,370,0,0,10,1,079,28,,,,1
448962.0411,4468950.3483,390,371,PBI_18009,"Centro Comercial ""La Gavia""","Adolfo Bioy Casares, 2",18,VILLA DE VALLECAS,7,7,8, , , ,PBI_18009.jpg,2010/08/29 00:00:00+00,Central de Movilidad,INFORMOMADRID,371,0,0,10,1,079,28,,,,1
443601.2714,4475635.4512,391,372,PBI_04013,"Centro Socio Cultural ""Maestro Alonso""","Mestro Alonso, 4",04,SALAMANCA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_04013.jpg,2010/08/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,372,133,0,0,1,079,28,,,,1
439314.3691,4478830.8687,392,520,PBI_09025,"Colegio ""Santísimo Sacramento""","María Auxiliadora, 9",09,MONCLOA-ARAVACA,5,10,1,AYUNTAMIENTO MADRID,12,Falta 1 arco y la señal,PBI_09025.jpg,2011/01/08 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,359,1,0,1,079,28,,,,1
438976.813,4479010.1565,393,521,PBI_09024,"Parque ""Dehesa de la Villa""",Parque Dehesa de la Villa,09,MONCLOA-ARAVACA,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_09024.jpg,2011/01/08 00:00:00+00,Central de Movilidad,DG PLANIFICACION,0,360,1,0,1,079,28,,,,1
437058.5359,4477146.5682,394,522,PBI_09040,"Colegio ""Amar Misericordioso""","Paseo San Francisco de Sales, 42",09,MONCLOA-ARAVACA,5,10,1,AYUNTAMIENTO MADRID, , , ,, ,DG PLANIFICACION,0,361,1,0,1,079,28,,,,1
